segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
High-value loyal shoppers,RESTAURANT,1012.04,170,55,3199080.0100000002,128723,440,0.03163534506284511,0.1320665304568725,12.5,0.024657447812419117,1.282993491601814
High-value loyal shoppers,HBC,4.71,2,2,3199080.0100000002,128723,440,0.00014722982811548997,0.001553723887727912,0.45454545454545453,0.00011691052688446924,1.259337649388769
High-value loyal shoppers,RX,71.64,6,6,3199080.0100000002,128723,440,0.0022393938187247778,0.004661171663183736,1.3636363636363635,0.0019802806443403303,1.130846693434588
High-value loyal shoppers,SALAD BAR,13097.52,3980,316,3199080.0100000002,128723,440,0.40941520559218525,3.0919105365785446,71.81818181818181,0.3841578144175203,1.065747435628666
High-value loyal shoppers,GM MERCH EXP,41.92,25,12,3199080.0100000002,128723,440,0.001310376729214722,0.0194215485965989,2.727272727272727,0.0012547403681549723,1.0443409349629518
High-value loyal shoppers,COSMETICS,13307.39,2139,342,3199080.0100000002,128723,440,0.4159755291647113,1.6617076979250016,77.72727272727272,0.40162079690831964,1.0357420043157488
High-value loyal shoppers,FLORAL,16011.6,1568,306,3199080.0100000002,128723,440,0.5005063940241994,1.218119527978683,69.54545454545455,0.4921330012875796,1.0170144914377055
High-value loyal shoppers,DRUG GM,425633.12,53533,440,3199080.0100000002,128723,440,13.304860105702701,41.58775044086915,100.0,13.097915247016676,1.0157998318650872
High-value loyal shoppers,GROCERY,1569487.55,96133,440,3199080.0100000002,128723,440,49.06059070401306,74.68206924947368,100.0,50.80781128128997,0.9656111819577567
High-value loyal shoppers,MEAT,210132.08,21248,437,3199080.0100000002,128723,440,6.56851592780263,16.506762583221334,99.31818181818181,6.81092544511449,0.9644087254712586
High-value loyal shoppers,PASTRY,46365.86,12284,435,3199080.0100000002,128723,440,1.4493498085407372,9.542972118424835,98.86363636363636,1.5108992755245776,0.9592630243584764
High-value loyal shoppers,DELI,99258.46,14766,437,3199080.0100000002,128723,440,3.102718896986887,11.471143463095174,99.31818181818181,3.2375769099376153,0.9583460048356575
High-value loyal shoppers,MEAT-PCKGD,154962.6,23466,439,3199080.0100000002,128723,440,4.84397387735232,18.22984237471159,99.77272727272727,5.118704892487118,0.9463280222428861
High-value loyal shoppers,CHEF SHOPPE,851.85,277,112,3199080.0100000002,128723,440,0.026627967957575403,0.2151907584503158,25.454545454545453,0.028430852971012964,0.936587023425723
High-value loyal shoppers,SEAFOOD-PCKGD,23442.8,3422,383,3199080.0100000002,128723,440,0.7327981771859466,2.6584215719024575,87.04545454545455,0.7830475963108796,0.9358283974541654
High-value loyal shoppers,SEAFOOD,10771.54,1360,223,3199080.0100000002,128723,440,0.33670742733314757,1.05653224365498,50.68181818181819,0.3660828512387514,0.9197574434142347
High-value loyal shoppers,PRODUCE,198945.84,34463,440,3199080.0100000002,128723,440,6.21884539861821,26.772993171383515,100.0,6.918296966588833,0.898898302378671
High-value loyal shoppers,SPIRITS,7636.08,801,173,3199080.0100000002,128723,440,0.23869612438983667,0.6222664170350287,39.31818181818182,0.26895477694799436,0.8874953889961636
High-value loyal shoppers,COUP/STR & MFG,337.55,146,96,3199080.0100000002,128723,440,0.010551471014943449,0.11342184380413757,21.818181818181817,0.012754913661327678,0.8272475451507785
High-value loyal shoppers,AUTOMOTIVE,145.76,22,20,3199080.0100000002,128723,440,0.004556309924864929,0.01709096276500703,4.545454545454546,0.005617910732433529,0.8110328095034107
High-value loyal shoppers,TRAVEL & LEISUR,785.63,270,145,3199080.0100000002,128723,440,0.02455799784763745,0.20975272484326812,32.95454545454545,0.031652470228833614,0.775863547776644
High-value loyal shoppers,DAIRY DELI,20.6,17,15,3199080.0100000002,128723,440,0.0006439351293373871,0.013206653045687251,3.4090909090909087,0.0009088490322451893,0.7085171535547902
High-value loyal shoppers,NUTRITION,27386.010000000002,6111,384,3199080.0100000002,128723,440,0.8560589267662612,4.747403338952635,87.27272727272727,1.2121591217303929,0.7062265270455679
High-value loyal shoppers,FROZEN GROCERY,170.52,64,44,3199080.0100000002,128723,440,0.0053302824395442365,0.04971916440729318,10.0,0.008107534054410654,0.6574480481700179
High-value loyal shoppers,TOYS,2.48,2,2,3199080.0100000002,128723,440,7.752228741537477e-05,0.001553723887727912,0.45454545454545453,0.00012212309814683408,0.6347880834317374
High-value loyal shoppers,PHOTO,7.92,3,3,3199080.0100000002,128723,440,0.0002475711759394226,0.002330585831591868,0.6818181818181818,0.0005138105958616802,0.48183353541831153
High-value loyal shoppers,POSTAL CENTER,3.96,9,3,3199080.0100000002,128723,440,0.0001237855879697113,0.006991757494775604,0.6818181818181818,0.0002979853238318584,0.41540833749100586
High-value loyal shoppers,CHARITABLE CONT,1.0,1,1,3199080.0100000002,128723,440,3.125898686103821e-05,0.000776861943863956,0.22727272727272727,9.606024183500977e-05,0.3254102453200953
Promotion-driven routine shoppers,PORK,15.7,2,2,1146940.06,51909,670,0.0013688596769390023,0.003852896414879886,0.2985074626865672,0.00019485087814078206,7.025165552243418
Promotion-driven routine shoppers,CHARITABLE CONT,6.74,1,1,1146940.06,51909,670,0.0005876505874247691,0.001926448207439943,0.1492537313432836,9.606024183500977e-05,6.117521424046593
Promotion-driven routine shoppers,HBC,4.71,2,2,1146940.06,51909,670,0.00041065790308170066,0.003852896414879886,0.2985074626865672,0.00011691052688446924,3.5125827761217088
Promotion-driven routine shoppers,DAIRY DELI,20.05,14,13,1146940.06,51909,670,0.0017481297148170061,0.0269702749041592,1.9402985074626864,0.0009088490322451893,1.9234544493032983
Promotion-driven routine shoppers,VIDEO RENTAL,5.0,1,1,1146940.06,51909,670,0.0004359425722735676,0.001926448207439943,0.1492537313432836,0.00026633756973892884,1.6368046487053631
Promotion-driven routine shoppers,MEAT-PCKGD,74121.82,11415,658,1146940.06,51909,670,6.462571374479674,21.99040628792695,98.2089552238806,5.118704892487118,1.2625403320212873
Promotion-driven routine shoppers,MEAT,97939.64,10220,651,1146940.06,51909,670,8.539211717829438,19.688300680036217,97.16417910447761,6.81092544511449,1.2537520468609236
Promotion-driven routine shoppers,PASTRY,21430.33,5360,624,1146940.06,51909,670,1.8684786369742812,10.325762391878095,93.13432835820895,1.5108992755245776,1.2366665781380786
Promotion-driven routine shoppers,SEAFOOD-PCKGD,9942.37,1475,431,1146940.06,51909,670,0.8668604704591102,2.841511105973916,64.32835820895522,0.7830475963108796,1.107034201424144
